city__Bangalore,city__Chennai,city__Coimbatore,city__Delhi,city__Ernakulam,city__Hyderabad,city__Mumbai,city__Sector 5,city__Thiruvananthapuram,spec__Ayurveda,spec__Dentist,spec__Dermatologists,spec__ENT Specialist,spec__General Medicine,spec__Homeopath,Experience,Fees
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,24,100
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,350
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,300
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,250
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,20,250
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8,100
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,42,200
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,200
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,14,100
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,23,100
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,700
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,7,100
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,9,200
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,21,350
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,12,500
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,10,200
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,24,100
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,300
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,19,400
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,150
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,21,100
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,14,500
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,41,200
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,31,100
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,23,100
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,100
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,500
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,12,250
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,16,100
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,15,500
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,500
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11,500
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,14,100
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,23,500
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,9,300
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,15,400
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,10,250
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12,300
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,31,100
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,16,100
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,8,250
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12,500
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,31,500
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,8,300
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,22,500
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,500
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,16,200
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,31,200
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8,400
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,10,200
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,42,100
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,9,150
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,22,650
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,10,100
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,9,300
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25,600
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,200
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,400
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,24,500
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,38,500
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8,500
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,12,200
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,14,200
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,150
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,22,200
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,200
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6,500
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,36,500
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,150
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13,500
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,13,300
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,11,300
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,18,100
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,46,100
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,41,350
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,40,500
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7,100
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,13,300
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,12,600
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,10,200
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,49,100
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,9,250
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,20,50
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,11,100
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,200
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,16,150
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,24,500
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,33,700
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10,250
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,36,50
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8,50
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,15,250
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7,200
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,12,500
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,500
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,13,700
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,24,200
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,27,100
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,12,200
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,500
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,200
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,22,200
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,20,100
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,30,300
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,52,100
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,350
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,19,300
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,300
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,10,250
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,60,100
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,12,100
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,500
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,15,200
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,250
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,500
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,9,200
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,21,100
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,7,250
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,20,500
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,150
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,100
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,500
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,200
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,31,200
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,15,600
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,11,300
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,11,300
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,800
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,24,300
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,13,100
